judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Abstract
Bauran Pemasaran Terhadap Keputusan Pembelian Produk TV LG (studi pada Fely Jaya LG di Kecamatan Pamekasan),Penulis : Ervan Agus Feryanto,Dosen Pembimbing I : Dr.Ir.Nurita Andriani.MM,Dosen Pembimbing II :Nirma Kurriwati SP.M.Si,"Perkembangan dan kemajuan industri, salah satunya kita lihat dengan adanya perkembangan dunia usaha yang semakin pesat. Fenomena tersebut menyebabkan tiap perusahaan sejenis bersaing untuk mempertahankan pelanggan salah satunya melalui strategi bauran pemasaran. Bauran pemasaran terdiri dari produk, harga,promosi dan distribusi. Secara khusus, penelitian ini membahas bauran pemasaran toko Fely Jaya LG di Kacamatan Pamekasan. Adapun yang menjadi masalah dalam penelitian ini adalah “faktor-faktor yang mempengaruhi keputusan pembelian merek produk LG di Kecamatan Pamekasan” . penelitian ini menggunakan dua variabel, yaitu variabel terikat  dan variabel tergantung. Tujuan penelitian ini untuk mengetahui dan menganalisis pengaruh bauran pemasaran yang terdiri dari distribusi, produk, harga, dan promosi terhadap keputusan pembelian konsumen.
Penelitian ini dilakukan dengan menggunakan kuesioner terhadap 50 orang pelanggan toko Fely Jaya LG di Kecamatan Pamekasan. Kemudian dilakukan analisis terhadap data-data yang diperoleh berupa analisis  regresi Linier Berganda dengan memakai uji F dan uji t.
 Hasil dari penelitian ini adalah berdasarkan hasil analisa data dapat disimpulkan bahwa Variabel bebas yang terdiri dari variabel Produk, Harga, Promosi, dan Distribusi  mempunyai pengaruh secara signifikan terhadap variabel terikat Keputusan konsumen. Akan tetapi variabel distribusi berpengaruh terhadap keputusan pembelian  pada merek elektronik Fely Jaya LG di Kecamatan Pamekasan karena  responden memberikan saran terhadap variabel distribusi untuk membuka usaha yang letaknya lebih strategis dan nyaman.

","The development and progress of industries can be seen by the increasing of world business development rapidly. The phenomenon cause each similar companies that run in same product must compete to retain their customers,  and one solution conducted is through marketing mix strategy. Marketing mix consists of product, price, promotion and distribution. In particular, this study discusses the marketing mix in the Fely Jaya LG Television store Pamekasan district. The research problem is ""the factors that influence the purchasing decisions LG TV products in Pamekasan district"". This study uses two variables, the bound and dependent variable. The purpose of this study is to determine and analyze the effect of marketing mix which consists of distribution, product, price, and promotion on consumers’ purchasing decisions. 
This study is conducted by using questionnaire to 50 customers in the Fely Jaya LG Television store Pamekasan district. Then the analysis of the data obtained in the form of multipleinier Regression analysis. Attaching Ftest and t test.
Results of study, which is taken from data analysis, conclude that the independent variable that consists of the product, price, promotion, and distribution variable have a significant influence on consumer decision bound variable. However, distribution variable influences the purchasing decisions LG TV products in the Fely Jaya LG Television store Pamekasan district because respondents give advice on the distribution of the variable to open a business in a more strategic and convenient location.
"
"Analisis Strategi Bersaing Dalam Menghadapi Persaingan Antar Koperasi Pegawai Republik Indonesia (KPRI) (Studi pada KPRI “Mataram” di Desa Pademawu Barat, Kecamatan Pademawu, Kabupaten Pamekasan)",Penulis : Aisiyah Arifatin,"Dosen Pembimbing I : Dr. Ir. Nurita Andriyani, MM","Dosen Pembimbing II :Hadi Purnomo, SE. MM. ","ABSTRAK
Aisiyah Arifatin. 2014. “Analisis Strategi Bersaing Dalam Menghadapi Persaingan Antar Koperasi Pegawai Republik Indonesia (KPRI) (Studi pada KPRI “Mataram” di Desa Pademawu Barat, Kecamatan Pademawu, Kabupaten Pamekasan)”. Dibawah bimbingan Dr. Ir. Nurita Andriani, MM dan Hadi Purnomo, SE. MM. 

Setiap perusahaan menginginkan produknya dapat diterima oleh masyarakat oleh karena itu setiap perusahaan harus dapat mengoptimalkan strategi bersaing guna untuk mencapai tujuan perusahaan. Persaingan yang semakin ketat mengharuskan setiap perusahaan untuk menerapkan strategi bersaing yang tepat agar dapat mempertahankan status perusahannya. Untuk melihat strategi yang harus dilakukan oleh perusahaan maka menggunakan matriks BCG.
       
Tujuan dari penelitian ini adalah untuk mengetahui tingkat pertumbuhan pasar, pangsa pasar relatif dan strategi bersaing yang dilakukan oleh Koperasi Pegawai Republik Indonesia (KPRI) “Mataram” berdasarkan Matriks BCG.

       Penelitian ini menggunakan metode kualitatif. Metode pengumpulan data yang dilakukan dalam penelitian ini adalah dengan metode observasi, wawancara dan dokumentasi. Dan sumber data yang digunakan dalam penelitian ini adalah data primer dan data sekunder. Data primer dalam penelitian ini di dapat dari hasil wawancara dengan pihak perusahaan, sedangkan data sekunder diperoleh dari data yang telah diolah berupa data jumlah anggota KPRI “Mataram” dan pesaingnya KPRI “Bhinneka Karya” selama periode tahun 2010 sampai tahun 2012. Metode analisis data dalam penelitian ini menggunakan matrik BCG. Matrik BCG dilakukan berdasarkan laporan jumlah anggota KPRI “Mataram” pada tahun 2011 dan tahun 2012 yang dibandingkan dengan laporan jumlah anggota pesaingnya yaitu KPRI “Bhinneka Karya” untuk mengetahui pertumbuhan pasar dan pangsa pasar.

Berdasarkan analisis matrik BCG, maka dapat diketahui bahwa tingkat pertumbuhan pasar pada KPRI “Mataram” sebesar -6,7% yang berarti bahwa KPRI “Mataram” memiliki tingkat pertumbuhan pasar yang rendah. Dan nilai pangsa pasar relatif pada KPRI “Mataram” sebesar 0,827, sehingga KPRI “Mataram” berada pada kuadran Cash Cow (Sapi Perah). Yaitu berada pada pertumbuhan pasar yang rendah dan pangsa pasar yang tinggi, oleh karena itu strategi yang dapat dikembangkan oleh KPRI “Mataram” adalah mengembangkan strategi diferensiasi dengan cara membentuk simpanan yang unik seperti simpanan haji, simpanan qurban dan membentuk kredit yang menarik seperti kredit qurban, kredit industri untuk meningkatkan jumlah anggota.


Kata Kunci: Strategi Bersaing, Matrik BCG



","ABSTRACT
Aisiyah Arifatin. 2014. “Analysis of Competiting Strategies in Dealing Comptetition among Employes of Indonesian State Cooperatives (Koperasi Pegawai Republik Indonesia ) (Study on KPRI “Mataram” in Pademawu Barat Village, Pademawu District, Pamekasan Region)”. Advisor I: Dr. Ir. Nurita Andriani, MM. Advisor II: Hadi Purnomo, SE. MM. 


Each companies really want their products to be accepted in society, so it is demanded to optimize strategies for achieving it goals. The increasing of fierce competition requires each companies to set an acureate competiting strategies to maintain his companies. To view the strategies that should be done by the company using BCG matrix.

The purpose of this study is to determine the market growth rate, relative market share and competiting strategy conducted by Employes of Indonesian State Cooperatives (KPRI) “Mataram” based on BCG matrix.

The study belongs to qualitative method. Data collecting method conducted through documentation, interviews and observations. Primary and secondary data are used in the study. Primary data are obtained through interviews to company, while the secondary data obtained form total members processed data of KPRI “Mataram” it competitor; KPRI “Bhinneka Karya” during 2010 up to 2012. Data analysis method applied is BCG matrix. BCG matrix is conducted based on total members report of KPRI “Mataram” during 2011 up to 2012 that is compared to total members report of its competitor; KPRI “Bhinneka Karya”. It has purposes to determine the market growth and share.


Based on BCG matrix analysis, it show the results that market growth rate of KPRI “Mataram” is -6,7%, means KPRI “Mataram” has low market growth rate. The relative market share of KPRI “Mataram” is 0,827, so KPRI “Mataram” is decised to be in Cash Cow quadrant. It is in low market growth but in the high market share. The strategy that should be implemented by KPRI “Mataram” is differentiation in whict the function is creating a unique saving like haji saving, qurban saving and credit like qurban credit, industry credit in order to attract and increase the number of members. 



Keywords: Competiting strategies, BCG matrix.

"
,,,,,
,,,,,
PENGARUH ATRIBUT PRODUK TERHADAP KEPUTUSAN PEMBELIAN MINYAK GORENG SANIA (Studi Pada Ibu-Ibu Di Perumahan Graha Kamal Permai Kecamatan Kamal),Penulis : Anissa Novianti,"Dosen Pembimbing I : Dr. Nurita Andriani. Ir., MM","Dosen Pembimbing II :Hadi Purnomo, SE.,MM","Anissa Novianti. 090211100010. Pengaruh Atribut Produk Terhadap Keputusan Pembelian Minyak Goreng Sania (Studi Pada Ibu-Ibu Di Perumahan Graha Kamal Permai Kecamatan Kamal), dibawah bimbingan Dr. Nurita Andriani, Ir, MM., dan Hadi Purnomo, S.E, MM.
Tujuan penelitian ini adalah (1) untuk mengetahui pengaruh atribut produk yang terdiri dari merek, kemasan, dan label secara simultan terhadap keputusan pembelian minyak goreng Sania (studi pada ibu-ibu di Perumahan Graha Kamal Permai Kecamatan Kamal), (2) untuk mengetahui pengaruh atribut produk yang terdiri dari merek, kemasan, dan label secara parsial terhadap keputusan pembelian minyak goreng Sania (studi pada ibu-ibu di Perumahan Graha Kamal Permai Kecamatan Kamal), (3) untuk mengetahui variabel atribut produk yang berpengaruh dominan terhadap keputusan pembelian (studi pada ibu-ibu di Perumahan Graha Kamal Permai Kecamatan Kamal).
Penelitian ini menggunakan pendekatan kuantitatif yang berusaha untuk mengetahui bagaimana pengaruh atribut produk terhadap keputusan pembelian minyak goreng Sania (studi pada ibu-ibu di Perumahan Graha Kamal Permai Kecamatan Kamal). Teknik pengambilan sampel menggunakan simple random sampling dengan 54 responden. Teknik pengumpulan data yaitu dengan wawancara, kepustakaan, dan kuesioner dan menggunakan skala likert untuk mengukur jawaban responden. Untuk menguji instrumen menggunakan uji validitas, uji reliabilitas, dan uji asumsi klasik. Sedangkan teknik analisis data yaitu menggunakan analisis regresi linier berganda karena variabel yang digunakan lebih dari dua variabel, dengan uji F dan uji t.
Hasil penelitian ini menunjukkan bahwa variabel atribut produk yang terdiri dari merek, kemasan, dan label berpengaruh secara simultan dan parsial terhadap keputusan pembelian (studi pada ibu-ibu di Perumahan Graha Kamal Permai Kecamatan Kamal). Namun, tidak semua variabel atribut produk berpengaruh secara parsial terhadap keputusan pembelian minyak goreng Sania (studi pada ibu-ibu di Perumahan Graha Kamal Permai Kecamatan Kamal). Variabel yang berpengaruh dominan adalah variabel merek.

Kata Kunci : Atribut Produk dan Keputusan Pembelian.","Anissa Novianti. 090211100010. A Study of the Influence of Product Attribute to Decision of Buying Sania Cooking Oil (a study on the housewives who live in Graha Kamal Permai Resident, Kamal), Advisors (I) Dr. Nurita Andriani, Ir, MM., (II) Hadi Purnomo, S.E, MM.
The objectives of this study was (1) to find out whether or not the variables of product attribut such as label, package, and brand, simultaneously influence to purchasing decision of Sania cooking oil (a study on the housewives who live in  Graha Kamal Permai Resident, Kamal), (2) to find out whether or not the variables of product attribute such as label, package, and brand, partially influence to purchasing decision of Sania cooking oil (a study on the housewives who live in  Graha Kamal Permai Resident, Kamal), (3) to find out which of the variables of the product attribute that has dominant influence to the decision of buying Sania cooking oil (a study on the housewives who live in  Graha Kamal Permai Resident, Kamal).
This study applies quantitative methods. The samples are collected by simple random sampling as many as 54 respondents. The data is obtained by using questionnaires, library research, interview, while the Likert scale is applied to measure the respondents’ respond. The instrument is tested by using classical assumption, reliability and validity test. The data is analyzed by using multiple regressions with F-test and t-test.
The study shows that the variables of product attribute such as label, package, and brand, has simultaneously and partially affected on decision of buying Sania cooking oil. However, not all of the variables of product attribute partially influence to the decision of buying Sania cooking oil. The variable that has dominant influence to the decision of buying Sania cooking oil is brand.

Keywords: Product Attributes and Purchase Decisions."
Pengaruh Komunikasi yang Efektif Dalam Organisasi Terhadap Produktivitas Kerja Karyawan.,Penulis : Zulsiamsyah Yuri,"Dosen Pembimbing I : Dr. Hj. Anugrahini SE., M.si.","Dosen Pembimbing II :Faidal SE.,MM.","Produktifitas karyawan sangat dibutuhkan perusahaan untuk mewujudkan visi dan misi yang sesuai ditetapkan oleh perusahaan. Produktivitas karyawan merupakan suatu hal yang perlu ditingkatkan oleh setiap anggota dari organisasi agar dapat terlaksananya tujuan dari organisasi secara optimal. Terkait dengan produktivitas karyawan terdapat beberapa hal yang dapat mempengaruhi seperti kefektifan dalam berkomunikasi di organisasi dimana saluran komunikasi seperti komunikasi kebawah, komunikasi keatas, dan komunikasi horizontal merupakan salah satu faktor yang dapat meningkatnya produktivitas kerja dari karyawan. Tujuan dengan adanya penelitian kali ini adalah untuk mengetahui seberapa pengaruh komunikasi kebawah, komunikasi ke atas, dan komunikasi horizontal terhadap produktivitas kerja karyawan.
Data yang digunakan dalam penelitian ini adalah data primer yang diperoleh dari penyebaran kuisoner. Adapun respondennya adalah karyawan PT Starfood International paciran lamongan yang berjumlah 352 orang dan teknik pengambilan sampel menggunakan clustered sampling analisis statistik yang digunakan adalah analisis regresi linear berganda.
Hasil dari penelitian ini berdasarkan hasil analisi data yang dapat disimpulkan bahwa faktor yang terbukti berpengaruh secara signifikan terhadap produktivitas kerja karyawan adalah komunikasi kebawah dan komunikasi horizontal sedangkan komunikasi keatas terbukti tidak berpengaruh secaa signifikan terhadap produktivitas kerja karyawan di PT Starfood International Paciran Lamongan.
Keywords: Komunikasi kebawah, komunikasi keatas, komunikasi horizontal, dan produktivitas kerja karyawan 
","Laborer productivity is really needed by company to apply vision and mission based on company policy. Laborer productivity should be increase by every member of the organization in order to reach the organization’s objectives optimally. There are several things than can affect laborer productivity such as the effectiveness of communication in such an organization where communication channels for examples downward communication, upward communication and horizontal communication is one of factors that can increase work productivity of employees.
The data which used in this study is primary data obtained by questionnaires deployment. The respondents were employees of PT Starfood International in Paciran Lamongan which amount 352 people and the sampling technique used clustered sampling statistical analysis which used multiple linear regression analysis.
The results of this study is based on the results of the data analysis which can be concluded that significantly factors which can influence of laborer productivity is down communication and horizontal communication while upward communication isn’t have any influence  significantly on labor productivity in PT Starfood International Paciran Lamongan.
Keywords: down communication, upward communication, Horizontal communication, and laborer productivity 
"
"PELAPORAN BIAYA KUALITAS UNTUK MEMINIMALKAN TERJADINYA RISIKO PRODUK CACAT DALAM MENINGKATKAN PROFITABILITAS PERUSAHAAN PADA CV. KAPUAS INTI SARANA, SURABAYA",Penulis : M. Boy Singgih Gitayuda,"Dosen Pembimbing I : Drs. Ec. Makhmud Zulkifli, M.Si","Dosen Pembimbing II :Prasetyo Nugroho,. S.Pi., MM","ABSTRAK

Penelitian ini mengungkapkan beberapa rumusan masalah, diantaranya adalah bagaimanakah pelaporan biaya kualitas dapat meminimalkan terjadinya risiko produk cacat pada CV. Kapuas Inti Sarana?, dan bagaimanakah pengaruh pelaporan biaya kualitas terhadap tingkat profitabilitas pada CV. Kapuas Inti Sarana?. Penelitian ini bertujuan untuk mengetahui adanya pengaruh pelaporan biaya kualitas terhadap terjadinya risiko produk cacat dan tingkat profitabilitas perusahaan. 
Penelitian ini menggunakan metode deskriptif, yang menggambarkan suatu fenomena dengan mendeskripsikan sejumlah variabel yang berasal dari data masa lalu dan yang terjadi pada masa sekarang. 
Hasil dari penelitian ini adalah dengan pelaporan biaya kualitas secara periodik dan terperinci dapat berpengaruh pada peningkatan profitabilitas perusahaan, ini dapat terjadi karena pelaporan biaya kualitas secara terperinci akan mengurangi terjadinya risiko produk cacat. Apabila produk cacat berkurang maka akan berpengaruh pada peningkatan penjualan, yang secara langsung juga akan berpengaruh pada meningkatnya profitabilitas perusahaan secara keseluruhan. 
Kata kunci: Risiko produk cacat, biaya kualitas, profitabilitas
","ABSTRACT

This study revealed some formulation of the problem, such as how reporting the cost of quality can minimize risk defects on CV. Kapuas Inti Sarana?, And how does it influence reporting the cost of quality on the level of profitability on the CV. Kapuas Inti Sarana?. This study aimed to investigate the influence of reporting cost of quality against the risk of defective products and the profitability of the company.
This research uses descriptive method, which describes a phenomenon by describing a number of variables derived from past data and is happening in the present.
The results of this study is to periodically reporting the cost of quality and detail can affect the profitability of the company, this can happen because a detailed cost reporting quality will reduce the risk of defective products. If the defective product is reduced it will affect the increase in sales, which directly have an effect on increasing the profitability of the company as a whole.
Keywords: Risk of defective products, the cost of quality, profitability.
"
,,,,,
,,,,,
"PENGARUH PERILAKU KONSUMEN TERHADAP KEPUTUSAN PEMBELIAN MAKANAN TRADISIONAL DI KABUPATEN BANGKALAN
(Studi Pada Toko Nusa Indah Bangkalan)

",Penulis : Hardik Pratama Suryanto,"Dosen Pembimbing I : Dr. H. Pribanus Wantara, Drs., MM.","Dosen Pembimbing II :Dr. H. Muh. Syarif, Drs., Ec., M.Si.","ABSTRAK
Hardik Pratama S. 2014. Pengaruh Perilaku Konsumen Terhadap Keputusan Pembelian Makanan Tradisional Di Kabupaten Bangkalan, di bawah bimbingan Dr. H. Pribanus Wantara, Drs., MM. dan Dr. H. Muh. Syarif, Drs.Ec., M. Si.
Tujuan penelitian ini adalah (1) untuk mengetahui pengaruh perilaku konsumen yang terdiri dari kebudayaan, sosial, pribadi dan psikologis secara simultan terhadap keputusan pembelian makanan tradisional di kabupaten Bangkalan, (2) untuk mengetahui variabel perilaku konsumen  yang berpengaruh dominan terhadap keputusan pembelian makanan tradisional di kabupaten Bangkalan.
Penelitian ini menggunakan pendekatan pendekatan kuantitatif yang berusaha untuk mengetahui bagaimana pengaruh perilaku konsumen terhadap keputsan pembelian makanan tradisional di kabupaten Bangkalan. Teknik pengambilan sampel menggunakan purposive sampling dengan 50 responden. Teknik pengumpulan data yaitu dengan wawancara, kuesioner dan menggunakan skala likert untuk mengukur jawaban responden. Untuk menguji instrumen menggunakan uji validitas, uji reliabilitas, dan uji asumsi klasik. Sedangkan teknik analisis data yaitu menggunakan analisis regresi linier berganda karena variabel yang digunakan lebih dari dua variabel, dengan uji F dan uji t.
Hasil penelitian ini menunjukkan bahwa variabel perilaku konsumen yang terdiri dari kebudayaan, sosial, pribadi dan psikologis secara simultan terhadap keputusan pembelian makanan tradisional di kabupaten Bangkalan. Variabel psikologis berpengaruh dominan terhadap keputusan pembelian makanan tradisional di kabupaten Bangkalan.
Kata Kuci :Perilaku Konsumen ,Kebudayaan, Sosial, Pribadi, Psikologis, Keputusan Pembelian.

","ABSTRACT
Hardik Pratama S. 2014. The Influence Of Consumer Behavior To buying decision of traditional food in bangkalan regency, under the guidance of            Dr. H. PribanusWantara, Drs., MM. and Dr. H. Muh. Syarif, Drs.Ec., M. Si. 
The objectives of this research (1) to know the influence of consumer behavior variables which consist of culture, social, personal, psycologys simultaneously to buying decision of food in bangkalan regency , (2) to know the consumer behavior variables variables has dominant effect to buying decision of food in bangkalan regency..
This research is quantitative research approach which tried to know how the influence of consumer behavior to To buying decision of food in bangkalan regency. Sampling has been developed through purposive sampling, resulting 60 respondents. The technique of gathered data there are interview, literature, and questionaire, and 5-point Likert Scale to measure the respondent’s answer. To test instrument used validities test, reliablities tes, and classical assumption test. While the technique of data analysis used multiple linier regression because which is used more than two variable with F test and t test.
The result of this research shows that the consumer behavior variables which consist of culture, social, personal, psycologys have effect simultaneously to To buying decision of food in bangkalan regency. The variable of psycologys has dominant effect to To buying decision of food in bangkalan regency.

Keywords : Consumer Behavior, culture, social, personal, psycologys, buying decision.
"
,,,,,
,,,,,
PENGARUH PEMBAGIAN KERJA DAN PENDELEGASIAN WEWENANG TERHADAP PRESTASI KERJA DI KANTOR POS PAMEKASAN,Penulis : Harismatullah Hidayat,Dosen Pembimbing I : Anugrahini Irawati,Dosen Pembimbing II :Faidal,"ABSTRAK



Harismatullah Hidayat. 2014. Pengaruh Pembagian Kerja dan Pendelegasian Wewenang terhadap Prestasi di Kantor Pos Pamekasan, dibawah bimbingan Dra. Hj. Anugerahini Irawati, MM., dan Faidal, SE., MM.,

Pembagian kerja dan pendelegasian wewenang merupakan salah satu faktor penting yang dapat mempengaruhi prestasi kerja. Dalam melaksanakan tugas karyawan sering mengalami permasalahan seperti perangkapan pekerjaan atau ketidakjelasan peran, hal ini menyebabkan lambatnya pelaksanaan kerja yang ada di dalam perusahaan dan akan berdampak kurang baik bagi perusahaan terutama pada pretasi kerja karyawannya.

Penelitian ini bertujuan mengetahui pelaksanaan pembagian kerja dan pendelegasian wewenang berpengaruh terhadap prestasi kerja di Kantor Pos Pamekasan. Kemudian mengetahui variabel bebas yang berpengaruh dominan terhadap prestasi kerja di kantor pos pamekasan.

Berdasarkan hasil analisis regresi linier berganda ditemukan bahwa variabel pembagian kerja (X1) berpengaruh terhadap variabel prestasi kerja sebesar 58,3%. Sedangkan variabel pendelegasian wewenang (X2) berpengaruh terhadap variabel prestasi kerja sebesar 42,6%. Kemudian hasil koefisien determinasi berganda (R2) atau R Square menunjukkan hasil sebesar 0,948 hal ini menunjukkan bahwa persentase pengaruh variabel pembagian kerja dan pendelegasian wewenang terhadap prestasi adalah sebesar 94,8%. Sedangkan sisanya sebesar 5,2% dipengaruhi atau dijelaskan oleh variabel lain yang tidak dimasukkan dalam penelitian ini.

Kata Kunci: Pembagian Kerja, Pendelegasian Wewenang dan Prestasi Kerja

","ABSTRACT



Harismatullah Hidayat. 2014. The Influence of Division of Labor and Delegation of Authority on employee’s achievement in Pamekasan Post Office. Advisor I: Dra. Hj. Anugerahini Irawati, MM., Advisor II: Faidal, SE., MM.,


Division of labor and delegation of authority are main factor that can influence employee’s achievement. In accomplishing job, employee often experience problems such as multi task or role ambiguity. These can cause to the slowness in working performance in the company and give the negative effect mainly in achievement. 

The purpose of this study is to determine the influence of performance of labor divisioning and authority delegation on work achievement in Pamekasan Post Office. Then, it is purposed to determine the dominant independent variable that mostlu influence the work achievement in Pamekasan post office. 

Based on the result of multiple linear regression analysis, it is shown that labor division of labor variable (X1) influences the work achievement of 58,3%. On the other side, authority delegation variable (X2) influences the work performnace variable of 42,6%. Next, the result of multiple determination coefficients (R2) or R Square shows the number of 0,948. This proves that the influence percentage of variabel labor division variable and delegation of authority on work performance is 94,8%, while the remaining of 5,2% is affected or explained by other variables outside this study.
 
Keywords: Division of labor, Delegation of authority and work performance. 

"
"Pengaruh Iklim Organisasi Terhadap Motivasi Karyawan
PT. Bank BRI Cabang Bangkalan",Penulis : Samsuki,Dosen Pembimbing I : Iriani Ismail,Dosen Pembimbing II :Faidal,"Samsuki. 2014. Pengaruh Iklim Organisasi Terhadap Motivasi Karyawan PT. BANK BRI Cabang Bangkalan, dibawah bimbingan Dr. Hj. Iriani Ismail, Dra., MM., dan Faidal, SE. MM.
BRI merupakan BUMN Jasa keuangan di Indonesia yang menekankan pelayanan terhadap nasabah ataupun calon nasabah. BRI berusaha meningkatkan iklim organisasi di lingkungannya untuk mendorong motivasi karyawannya dalam rangka memberikan pelayan optimal kepada nasabahnya.
Tujuan penelitian ini adalah Untuk mengetahui pengaruh iklim organisasi terhadap motivasi karyawan pada PT. BANK BRI Cabang Bangkalan. Penelitian ini menggunakan pendekatan kuantitatif, Teknik pengambilan sampel menggunakan purposive sampling dengan 60 responden. Pengujian menggunakan uji validitas dan reabilitas, selanjutnya menggunakan uji secara simultan untuk mengetahui pengaruh variabel secara keseluruhan. Dilanjutkan dengan menggunakan uji parsial.
Hasil penelitian ini menunjukkan bahwa perhitungan uji F, dapat disimpulkan variabel iklim organisasi yang terdiri dari struktur, tanggung jawab, imbalan, kehangatan, dukungan, kesetiaan dan loyalitas, risiko berpengaruh secara simutan dan signifikan terhadap motivasi kerja karyawan PT. Bank BRI Cabang Bangkalan. Uji R2 didapatkan hasil sebesar 0,847 atau 84,7%. Yang berarti variabel dependen memiliki pengaruh sebesar 84,7% terhadap variabel independen, sedangkan sisanya (15,3%) dijelaskan oleh variabel lainnya yang tidak diteliti dalam penelitian ini.","Samsuki. 2014. The influence of Organizational Climate on Employees’ Motivation at BRI Bank – Bamkalan. Advisior I: Dr. Hj. Iriani ismail, Dra., MM. Advisior II: Faidal, SE. MM
BRI is financial state companies in Indonesia that focus in giving services to customers or prospective customers, BRI keep improving its organizational climate to motivate its employees in order to give optimal service to customers.
Program Studi Manajemen, Fakultas Ekonomi, Universitas Trunojoyo Madura 2
The purpose of this study is to determine the influence of organizational climate on employees’ motivation at BRI Bank – Bankalan. This study is conducted in quintative approach. Sample collecting technique applied is purposive sampling by the number of respondents are 60 people. The testing applied is reliability and validity test. Then, the simultaneous test is conducted in order to discover influence of each variable in a whole. Next, the step taken is partial lest.
Result on F-test calculation shows that organizational climate variable, consisting of risk, loyality, support, warmth, reward; responsibility and structure have significant and simultaneous influence on employees’ motivation at BRI Bank - Bankalan. In the other side, the R2 test shows the result of test as 0,847 or 84,47%. It means that dependent variable has in influence of 84,7% on defendant fariable, while the remaining of 15,3% is explained by another variable outside of this study."
,,,,,
,,,,,
ANALISIS EFEKTIVITAS STRATEGI PROMOSI HOTEL KEMUNING PKP-RI PAMEKASAN DI KABUPATEN PAMEKASAN,Penulis : Farida Mutia Agustin,"Dosen Pembimbing I : Dr. Ir. Nurita Andriani, MM","Dosen Pembimbing II :Yustina Chrismardani SSi, MM","Tujuan penelitian ini adalah untuk mengetahui efektivitas promosi yang dilakukan oleh Hotel Kemuning PKP-RI Pamekasan. Penelitian ini menggunakan metode kuantitatif deskriptif. Populasi penelitian ini adalah konsumen yang menggunakan jasa Hotel Kemuning PKP-RI Pamekasan. Teknik sampling yang digunakan adalah Accidental Sampling. Jumlah sampel yang digunakan dalam penelitian ini adalah 100 responden. Teknik analisis data dalam penelitian ini menggunakan EPIC Model.
Hasil dari perhitungan EPIC Model menunjukkan bahwa Dimensi Empati memiliki rata – rata 3,19 atau berada pada rentang skala cukup efektif, Dimensi Persuasi memiliki rata – rata 3,39 atau berada pada rentang skala cukup efektif, Dimensi Dampak memiliki rata – rata 3,825 atau berada pada rentang skala efektif, Dimensi Komunikas memiliki rata – rata 3,46 arau berada pada rentang skala efektif. Hasil nilai keseluruhan dengan menggunakan EPIC Rate adalah 3,466. Nilai ini berada pada rentang skala efektif. Nilai EPIC Rate yang dihasilkan menunjukkan bahwa promosi yang dilakukan efektif.

Kata kunci : Efektivitas Promosi, Empati, Persuasi, Dampak, dan Komunikasi.
","This research used quantitative descriptive method. The population of this research was the consumer who stayed in Kemuning Hotel PKP-RI in Pamekasan. Technic of data sampling which was used was Accidental Sampling . The amount of sample in this research was 100 respondens. The technic of data analysis used Epic Model
This result of calculation of Epic Model shown that the avarage of Empathy Dimension was 3,19 or in the scale effective enough, Persuasion Dimension was 3,39 or effective enough, Effect Dimension was 3,825 or effective, Communication Dimension was 3,46 or effective. The whole result by using Epic Rate was 3,466. This result was in indeed in effective scale. The result of Epic Rate shown that the promotion was effective
Keywords: Promotion Effectivity, Emphathy, Persuasion, Effect and Communication
"
,,,,,
,,,,,
,,,,,
